Name,Rating,Reviews,Info,Address,Price,Phone,Services
The RoofTop Restro,3.2,68,Takeaway,"788001, Sankar Digir Par, Kanakpur, Silchar, Assam 788001",₹200–400,Not found,Not found
"Pizza Hut | Goldighi Mall, Silchar",3.6,270,Casual pizza chain with wide selection,"3rd Floor, Goldighi Mall, T39, Central Rd, Janiganj Bazar, Kanakpur, Silchar, Assam 788001",₹200–400,Not found,Not found
AROMA Cafe & Restaurant,4.0,452,No-contact delivery,"2nd, Link Road Point, Hailakandi Rd, near Barak Hub, Meherpur, Birbal Bazar, Silchar, Assam 788015",₹200–400,Not found,Not found
Babu Hotel,3.8,45,Takeaway,"21, Tarapur, Silchar, Assam 788003",₹1–200,Not found,Not found
Sangai Fine Dine Family Restaurant,4.3,24,Delivery,,,,
Tandoori Magic,4.3,72,No-contact delivery,,₹200–400,Not found,Not found
CafeHub,3.9,0,No-contact delivery,,,,
Ministry of Chicken,4.4,25,Delivery,,,,
The Spicy Kitchen Silchar,4.0,24,No-contact delivery,,₹200–400,Not found,Not found
Momo ghar,3.7,245,Delivery,,,,
Amyrah's Biryani Corner,4.5,33,Delivery,,,,
Tashee's Hut,4.2,32,Takeaway,,,,
BITES AND DELIGHTS,4.2,13,Takeaway,,,,
Hotel Maa Monosha,3.5,265,Takeaway,,,,
ZAHIR RESTAURANT,4.0,45,Takeaway,,₹1–200,Not found,Not found
Jhalu Barbeque,3.4,5,Takeaway,,,,
Food King Restaurant,1.0,1,Takeaway,,,,
GOOD FOOD RESTAURANT,2.5,2,Dine-in,,,,
Kuton Food Center,4.3,7,Takeaway,,,,
BIRYANI HUB,3.9,7,Delivery,,,,
Tejpata Restaurant & Fast Food,,0,No-contact delivery,,,,
CHOTA CHETAN MOMO CENTRE,5.0,1,Takeaway,,,,
Shondha Balar Adda,,0,Dine-in,,,,
HUNGER'S POINT,2.6,5,Temporarily closed,,,,
BARBEQUE SHOP,,0,Temporarily closed,,,,
SUMITRA RANI DAS,,0,Temporarily closed,,,,
Vaishali Hotel,,0,Temporarily closed,,,,
Aparna Fast Food Centre,,0,Temporarily closed,,,,
Anjali Fast Food Shop,,0,Temporarily closed,,Not found,Not found,Not found
Buys Hostel Mess,,0,Temporarily closed,,,,
